LINE NO    TOKEN               parentNode symbol   			isLeafNode          Node symbol    
***********************************************************************************************
3			--------				--------					NO			program                  
3			--------				program                    NO			otherFunctions           
0			EPS                      otherFunctions           YES			EPS                      
3			--------				program                    NO			mainFunction             
0			TK_MAIN                  mainFunction             YES			TK_MAIN                  
4			--------				mainFunction               NO			stmts                    
4			--------				stmts                      NO			typeDefinitions          
0			EPS                      typeDefinitions          YES			EPS                      
4			--------				stmts                      NO			declarations             
4			--------				declarations               NO			declaration              
0			TK_TYPE                  declaration              YES			TK_TYPE                  
4			--------				declaration                NO			dataType                 
4			--------				dataType                   NO			primitiveDatatype        
0			TK_INT                   primitiveDatatype        YES			TK_INT                   
0			TK_COLON                 declaration              YES			TK_COLON                 
0			TK_ID                    declaration              YES			TK_ID                    
4			--------				declaration                NO			global_or_not            
0			EPS                      global_or_not            YES			EPS                      
0			TK_SEM                   declaration              YES			TK_SEM                   
5			--------				declarations               NO			declarations             
5			--------				declarations               NO			declaration              
0			TK_TYPE                  declaration              YES			TK_TYPE                  
5			--------				declaration                NO			dataType                 
5			--------				dataType                   NO			primitiveDatatype        
0			TK_INT                   primitiveDatatype        YES			TK_INT                   
0			TK_COLON                 declaration              YES			TK_COLON                 
0			TK_ID                    declaration              YES			TK_ID                    
5			--------				declaration                NO			global_or_not            
0			EPS                      global_or_not            YES			EPS                      
0			TK_SEM                   declaration              YES			TK_SEM                   
6			--------				declarations               NO			declarations             
6			--------				declarations               NO			declaration              
0			TK_TYPE                  declaration              YES			TK_TYPE                  
6			--------				declaration                NO			dataType                 
6			--------				dataType                   NO			primitiveDatatype        
0			TK_INT                   primitiveDatatype        YES			TK_INT                   
0			TK_COLON                 declaration              YES			TK_COLON                 
0			TK_ID                    declaration              YES			TK_ID                    
6			--------				declaration                NO			global_or_not            
0			EPS                      global_or_not            YES			EPS                      
0			TK_SEM                   declaration              YES			TK_SEM                   
7			--------				declarations               NO			declarations             
0			EPS                      declarations             YES			EPS                      
7			--------				stmts                      NO			otherStmts               
7			--------				otherStmts                 NO			stmt                     
7			--------				stmt                       NO			assignmentStmt           
7			--------				assignmentStmt             NO			singleOrRecId            
0			TK_ID                    singleOrRecId            YES			TK_ID                    
7			--------				singleOrRecId              NO			singlePart               
0			EPS                      singlePart               YES			EPS                      
0			TK_ASSIGNOP              assignmentStmt           YES			TK_ASSIGNOP              
6			--------				assignmentStmt             NO			arithmeticExpression     
6			--------				arithmeticExpression       NO			term                     
6			--------				term                       NO			factor                   
6			--------				factor                     NO			all                      
0			TK_NUM                   all                      YES			TK_NUM                   
6			--------				term                       NO			termPrime                
0			EPS                      termPrime                YES			EPS                      
6			--------				arithmeticExpression       NO			expPrime                 
0			EPS                      expPrime                 YES			EPS                      
0			TK_SEM                   assignmentStmt           YES			TK_SEM                   
7			--------				otherStmts                 NO			otherStmts               
7			--------				otherStmts                 NO			stmt                     
7			--------				stmt                       NO			assignmentStmt           
7			--------				assignmentStmt             NO			singleOrRecId            
0			TK_ID                    singleOrRecId            YES			TK_ID                    
7			--------				singleOrRecId              NO			singlePart               
0			EPS                      singlePart               YES			EPS                      
0			TK_ASSIGNOP              assignmentStmt           YES			TK_ASSIGNOP              
6			--------				assignmentStmt             NO			arithmeticExpression     
6			--------				arithmeticExpression       NO			term                     
6			--------				term                       NO			factor                   
6			--------				factor                     NO			all                      
0			TK_NUM                   all                      YES			TK_NUM                   
6			--------				term                       NO			termPrime                
0			EPS                      termPrime                YES			EPS                      
6			--------				arithmeticExpression       NO			expPrime                 
0			EPS                      expPrime                 YES			EPS                      
0			TK_SEM                   assignmentStmt           YES			TK_SEM                   
7			--------				otherStmts                 NO			otherStmts               
7			--------				otherStmts                 NO			stmt                     
7			--------				stmt                       NO			assignmentStmt           
7			--------				assignmentStmt             NO			singleOrRecId            
0			TK_ID                    singleOrRecId            YES			TK_ID                    
7			--------				singleOrRecId              NO			singlePart               
0			EPS                      singlePart               YES			EPS                      
0			TK_ASSIGNOP              assignmentStmt           YES			TK_ASSIGNOP              
6			--------				assignmentStmt             NO			arithmeticExpression     
6			--------				arithmeticExpression       NO			term                     
6			--------				term                       NO			factor                   
6			--------				factor                     NO			all                      
0			TK_NUM                   all                      YES			TK_NUM                   
6			--------				term                       NO			termPrime                
0			EPS                      termPrime                YES			EPS                      
6			--------				arithmeticExpression       NO			expPrime                 
0			EPS                      expPrime                 YES			EPS                      
0			TK_SEM                   assignmentStmt           YES			TK_SEM                   
7			--------				otherStmts                 NO			otherStmts               
7			--------				otherStmts                 NO			stmt                     
7			--------				stmt                       NO			iterativeStmt            
0			TK_WHILE                 iterativeStmt            YES			TK_WHILE                 
